TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2021,9,4,20,30,9XX W 15TH AVE,Fairview,490880.5332,5456125.7011
Mischief,2021,1,11,19,0,9XX W 20TH AVE,South Cambie,490780.92,5455651.1577
Mischief,2021,2,6,11,33,9XX W 26TH AVE,South Cambie,490725.7529,5455045.0252
Mischief,2021,6,10,9,0,9XX W 41ST AVE,Oakridge,490757.8022,5453456.0815
Mischief,2021,10,13,16,0,9XX W 6TH AVE,Fairview,490865.5808,5457027.0475
Mischief,2021,2,8,10,0,9XX W BROADWAY AVE,Fairview,490956.4145,5456736.9418
Mischief,2021,2,13,22,45,9XX W BROADWAY AVE,Fairview,490956.4145,5456736.9418
Mischief,2021,6,28,17,10,9XX W BROADWAY AVE,Fairview,490956.6475,5456746.0829
Mischief,2021,8,1,15,30,9XX W CORDOVA ST,Central Business District,491637.4587,5459386.5999
Mischief,2021,1,14,11,40,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,2,25,19,31,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,8,6,22,0,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,9,27,7,45,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,10,12,15,15,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,12,19,10,12,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,12,19,18,40,9XX W CORDOVA ST,Central Business District,491637.4921,5459386.5836
Mischief,2021,2,2,5,5,9XX W GEORGIA ST,Central Business District,491249.6179,5459030.2409
Mischief,2021,8,29,16,54,9XX W GEORGIA ST,Central Business District,491249.6179,5459030.2409
Mischief,2021,6,6,20,15,9XX W GEORGIA ST,Central Business District,491250.3621,5459029.499
Mischief,2021,1,7,23,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,2,6,8,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,3,16,7,12,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,10,2,2,53,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,10,15,11,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,11,13,17,0,9XX W GEORGIA ST,Central Business District,491259.2299,5459007.7464
Mischief,2021,2,22,14,57,9XX W HASTINGS ST,Central Business District,491501.3856,5459388.0897
Mischief,2021,4,14,13,15,9XX W HASTINGS ST,Central Business District,491501.3856,5459388.0897
