ID;SUBSYSTEM;CODE;COVWATERHYDRANTUNITTYPE;DISTANCEFROMCORNER;FEEDERLEN;DIR;LINE;COLOR;INCOMM;CHR0;CHR1;STREET_NUMBER;STREET;OLDHYDNUM;CASTSUB;OOCDATE;OOCNOTES;INSTDATE1;ORACLEID;ACTIVE;REMARKS;FIREUSEONLY;STATUS;COMPRESSION;ADDDTTM;ADDBY;MODBY;FEATURE_ID;UNITID;Geom;Geo Local Area
WH-L13-017;DSTR;TC;TC1;3.0;1.8;E-EAST;E-EAST;Blue;Yes;;;;NEC W 13TH AV & BURRARD ST;30B32;COVAV;;;1962-01-01;__FJ8U32;Active;;N;IN_SERVICE;No;2009-11-10T02:34:32-07:00;covDBimport;SDE 834766;31248;31248;"{""coordinates"": [-123.14571761975813, 49.25998406050325], ""type"": ""Point""}";Fairview
WH-P24-013;DSTR;AVK;2780;79.2;1.5;E-EAST;E-EAST;Blue;Yes;;;SS 86;E MARINE DRIVE;84C16;COVAV;;;2000-01-01;__FJ8UCG;Active;;N;IN_SERVICE;No;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31249;31249;"{""coordinates"": [-123.10544198953029, 49.21197594416669], ""type"": ""Point""}";Sunset
WH-M08-024;DSTR;TC;C712P;1.5;0.5;S-SOUTH;S-SOUTH;Blue;Yes;;;;SEC BUTE ST & DAVIE ST;06B15;COVAV;;;;__FJ8VVN;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31250;31250;"{""coordinates"": [-123.1333901273089, 49.28165722346727], ""type"": ""Point""}";West End
WH-P09-028;DSTR;AVK;2780;92.0;15.5;W-West of Abbott;W-West of Abbott;Blue;Yes;;;;NWC EXPO BOULEVARD & DUNSMUIR VIADU;;COVAV;;;2006-01-26;__FN4BV4;Active;;N;IN_SERVICE;Yes;2009-11-10T02:34:00-07:00;covDBimport;SDE 834766;31252;31252;"{""coordinates"": [-123.1091074659376, 49.278633598078635], ""type"": ""Point""}";Downtown
WH-O21-010;DSTR;TC;TC1;4.0;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;;SWC CAMBIE ST & W 50TH AV;72A31;COVAV;;;1958-01-01;__FJ8UPC;Active;;N;IN_SERVICE;No;2009-11-10T02:34:32-07:00;covDBimport;SDE 834766;31253;31253;"{""coordinates"": [-123.11682621380929, 49.22508681544853], ""type"": ""Point""}";Oakridge
WH-W24-007;DSTR;TC;TC1;93.6;0.6;S-SOUTH;S-SOUTH;Blue;Yes;;;ES 8200;MATHESON CRESCENT;77D11;COVAV;;;1981-01-01;__FJ8S84;Active;;N;IN_SERVICE;No;2009-11-10T02:32:23-07:00;covDBimport;SDE 834766;31254;31254;"{""coordinates"": [-123.02782467577055, 49.209710243706986], ""type"": ""Point""}";Killarney
WH-T20-024;DSTR;TC;TC1;162.8;1.5;E-EAST;E-EAST;Green;Yes;;;NS 2100;E 46TH AV;58D20;COVAV;;;1962-01-01;__FJ8WEQ;Active;;N;IN_SERVICE;No;2009-11-10T02:32:23-07:00;covDBimport;KAH78;31256;31256;"{""coordinates"": [-123.06323991971506, 49.228616043253155], ""type"": ""Point""}";Victoria-Fraserview
WH-L18-015;DSTR;Mueller;CENTURION;1.5;0.8;N-NORTH;N-NORTH;Blue;Yes;;;;NEC MAPLE ST & W 37TH AV;63D21;COVAV;;;1965-01-01;__FJ8TYN;Active;;N;IN_SERVICE;Yes;2009-11-10T02:32:23-07:00;covDBimport;ENYAMW;31258;31258;"{""coordinates"": [-123.15179543079674, 49.238344827726884], ""type"": ""Point""}";Shaughnessy
WH-Q09-026;DSTR;TC;TC1;3.7;1.5;N-NORTH;N-NORTH;Blue;Yes;;;;NWC PRINCESS AV & PRIOR ST;20A05;COVAV;;;;__FJ8UXW;Active;;N;IN_SERVICE;No;2009-11-10T02:32:24-07:00;covDBimport;SDE 834766;31259;31259;"{""coordinates"": [-123.09177833176626, 49.276736996218], ""type"": ""Point""}";Strathcona
WH-F10-001;DSTR;TC;C71P;3.0;0.9;S-SOUTH;S-SOUTH;Red;Yes;;;;SEC TOLMIE ST & NW MARINE DRIVE;25A01;COVAV;;;2002-01-01;__FJ8WMN;Active;;N;IN_SERVICE;Yes;2009-11-10T02:32:00-07:00;covDBimport;RIH83;31261;31261;"{""coordinates"": [-123.21165924303149, 49.27473967606273], ""type"": ""Point""}";West Point Grey
