ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area
3496 Mons Drive;Independent School;Vancouver Christian;"{""coordinates"": [-123.02856693112142, 49.25471221591419], ""type"": ""Point""}";Renfrew-Collingwood
5400 Cartier St;Independent School;Vancouver College;"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}";Shaughnessy
1545 W 62nd Av;Independent School;Vancouver Hebrew Academy;"{""coordinates"": [-123.1413692647842, 49.21547172757715], ""type"": ""Point""}";Marpole
8650 Barnard St;Independent School;Vancouver Montessori School;"{""coordinates"": [-123.14463359946043, 49.20779039590787], ""type"": ""Point""}";Marpole
1000 E 59th Av;Public School;Walter Moberly Elementary;"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}";Sunset
3075 Slocan St;Independent School;Westside Montessori Academy;"{""coordinates"": [-123.0503919492473, 49.256937847571606], ""type"": ""Point""}";Renfrew-Collingwood
4176 Alexandra St;Independent School;York House School;"{""coordinates"": [-123.14034013611547, 49.248848218981884], ""type"": ""Point""}";Shaughnessy
1130 Keefer St;StrongStart BC;Admiral Seymour StrongStart Centre;"{""coordinates"": [-123.08031429999998, 49.27859426906773], ""type"": ""Point""}";Strathcona
5025 Willow St;Public School;BC Childrens Hosp School Program;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie
2251 Collingwood St;Public School;Bayview Community Elementary;"{""coordinates"": [-123.18233379, 49.26648700606768], ""type"": ""Point""}";Kitsilano
1690 Matthews Av;Public School;Canuck Place School Program;"{""coordinates"": [-123.14306239951357, 49.251669525820965], ""type"": ""Point""}";Shaughnessy
438 Terminal Av;Independent School;Columbia College;"{""coordinates"": [-123.09507768504591, 49.27155962112064], ""type"": ""Point""}";Strathcona
6344 Nanaimo St;Independent School;Corpus Christi School;"{""coordinates"": [-123.05758354036608, 49.226406104158166], ""type"": ""Point""}";Victoria-Fraserview
